0,1,2,3,4,5,6,7,8,9,10
400,0.0284,0.0377,0.046,0.0834,0.174,0.371,0.635,1.02,1.51,2.41
410,0.02592,0.03438,0.04228,0.07692,0.16,0.317,0.5474,0.8892,1.362,2.206
420,0.02344,0.03106,0.03856,0.07044,0.146,0.263,0.4598,0.7584,1.214,2.002
430,0.0216,0.02878,0.03608,0.06614,0.1356,0.2236,0.3904,0.6566,1.0856,1.832
440,0.0204,0.02754,0.03484,0.06402,0.1288,0.1988,0.3392,0.5838,0.9768,1.696
450,0.0192,0.0263,0.0336,0.0619,0.122,0.174,0.288,0.511,0.868,1.56
460,0.0188,0.0259,0.03316,0.0619,0.12,0.158,0.262,0.4666,0.798,1.432
470,0.0184,0.0255,0.03272,0.0619,0.118,0.142,0.236,0.4222,0.728,1.304
480,0.02024,0.02716,0.03416,0.06296,0.1168,0.131,0.218,0.3884,0.6704,1.192
490,0.02432,0.03088,0.03748,0.06508,0.1164,0.125,0.208,0.3652,0.6252,1.096
500,0.0284,0.0346,0.0408,0.0672,0.116,0.119,0.198,0.342,0.58,1
510,0.03296,0.03916,0.045,0.07152,0.1184,0.1202,0.198,0.3312,0.5456,0.9108
520,0.03752,0.04372,0.0492,0.07584,0.1208,0.1214,0.198,0.3204,0.5112,0.8216
530,0.0438,0.05002,0.05556,0.08236,0.1266,0.1266,0.2006,0.3178,0.4876,0.7486
540,0.0518,0.05806,0.06408,0.09108,0.1358,0.1358,0.2058,0.3234,0.4748,0.6918
550,0.0598,0.0661,0.0726,0.0998,0.145,0.145,0.211,0.329,0.462,0.635
560,0.06924,0.07738,0.08348,0.11348,0.1638,0.1638,0.2258,0.3402,0.462,0.613
570,0.07868,0.08866,0.09436,0.12716,0.1826,0.1826,0.2406,0.3514,0.462,0.591
580,0.09932,0.11024,0.11704,0.1518,0.2112,0.2112,0.2668,0.3656,0.4652,0.5836
590,0.13116,0.14212,0.15152,0.1874,0.2496,0.2496,0.3044,0.3828,0.4716,0.5908
600,0.163,0.174,0.186,0.223,0.288,0.288,0.342,0.4,0.478,0.598
610,0.2182,0.2276,0.2376,0.2706,0.3272,0.3272,0.3776,0.4312,0.5048,0.6204
620,0.2734,0.2812,0.2892,0.3182,0.3664,0.3664,0.4132,0.4624,0.5316,0.6428
630,0.3122,0.3192,0.3262,0.3522,0.395,0.395,0.4404,0.4914,0.563,0.6742
640,0.3346,0.3416,0.3486,0.3726,0.413,0.413,0.4592,0.5182,0.599,0.7146
650,0.357,0.364,0.371,0.393,0.431,0.431,0.478,0.545,0.635,0.755
660,0.3806,0.3876,0.395,0.4174,0.4562,0.4562,0.5116,0.5886,0.6918,0.8194
670,0.4042,0.4112,0.419,0.4418,0.4814,0.4814,0.5452,0.6322,0.7486,0.8838
680,0.4384,0.4456,0.4538,0.4792,0.5184,0.5184,0.5842,0.683,0.8048,0.9548
690,0.4832,0.4908,0.4994,0.5296,0.5672,0.5672,0.6286,0.741,0.8604,1.0324
700,0.528,0.536,0.545,0.58,0.616,0.616,0.673,0.799,0.916,1.11
